AC  Administration de l’aviation civile (6)
ARCEP   Autorité de régulation des communications électroniques, des postes et de la distribution de la presse (1)
ARCOM   Autorité de régulation de la communication audiovisuelle et numérique
DEF Ministère de la défense
ESP Espace (2)
HCR Haut-commissaire de la République, ou Administrateur supérieur, dans les collectivités d’outre-mer (3)
INT Ministère de l’intérieur
MTO Administration de la météorologie
PNM Administration des ports et de la navigation maritime et fluviale (4)
RST Ministère de l’enseignement supérieur et de la recherche
TTOM    Télécommunications sur les territoires français de la Région 3 (collectivités d’outremer)
